Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
12,30,6.94,0.24,18.56
30,28,6.96,0.46,60.21
8,29,6.88,0.13,3.95
26,35,7.13,0.45,60.08
7,31,6.84,0.12,4.39
12,30,6.94,0.26,18.93
3,31,6.8,0.04,6.35
25,36,7.1,0.44,58.6
7,29,6.88,0.15,3.09
5,29,6.83,0.07,4.26
3,30,6.76,0.04,6.59
19,33,6.99,0.41,46.53
10,30,6.88,0.21,7.9
19,32,7.0,0.39,46.65
9,30,6.86,0.18,4.81
5,29,6.8,0.08,4.94
17,33,7.02,0.36,43.31
7,30,6.88,0.14,4.27
12,30,6.94,0.26,19.58
26,34,7.09,0.45,60.84
13,33,6.98,0.28,25.35
21,33,7.03,0.42,50.26
4,30,6.79,0.05,5.76
18,34,7.01,0.38,44.49
26,35,7.14,0.44,60.17
19,32,6.99,0.4,46.68
21,33,7.03,0.41,49.98
8,31,6.87,0.15,3.76
10,29,6.93,0.2,7.97
27,34,7.1,0.44,63.05
21,33,7.03,0.42,50.19
17,32,7.02,0.36,42.82
0,25,6.72,0.0,0.0
21,32,7.01,0.43,50.33
20,33,6.99,0.41,48.66
4,29,6.83,0.06,5.96
15,34,7.06,0.33,36.47
4,29,6.79,0.06,5.8
11,31,6.93,0.24,13.36
5,30,6.75,0.07,4.93
26,34,7.11,0.44,60.48
0,27,6.67,0.0,0.0
11,29,6.91,0.22,13.62
30,28,6.86,0.46,59.59
7,29,6.86,0.13,3.43
22,34,7.05,0.43,52.35
27,35,7.11,0.45,62.44
15,32,6.99,0.32,36.96
0,25,6.72,0.01,0.36
5,31,6.78,0.09,4.99
30,29,6.88,0.45,59.79
3,31,6.72,0.04,6.23
30,29,6.88,0.43,60.65
29,32,6.99,0.46,61.23
13,31,6.98,0.29,25.67
4,31,6.81,0.05,5.65
13,32,6.98,0.28,26.14
21,32,6.97,0.4,50.13
25,34,7.1,0.44,60.21
3,29,6.75,0.04,5.96
30,28,6.88,0.46,60.91
26,34,7.08,0.45,60.65
9,31,6.9,0.16,5.07
23,33,7.06,0.43,54.59
5,29,6.78,0.07,4.26
11,30,6.96,0.24,12.73
10,29,6.9,0.19,8.84
27,35,7.11,0.46,62.69
27,33,7.09,0.45,62.34
30,29,6.84,0.45,61.0
27,33,7.09,0.46,61.73
8,30,6.87,0.14,4.02
16,34,7.02,0.33,40.65
14,33,6.99,0.27,30.88
24,36,7.06,0.43,57.81
21,32,7.03,0.42,50.27
30,29,6.89,0.43,60.26
8,29,6.9,0.15,4.63
4,31,6.76,0.08,4.95
14,32,7.02,0.3,31.3
27,35,7.08,0.44,61.71
20,33,7.0,0.4,48.2
11,29,6.92,0.23,12.95
18,33,6.99,0.37,46.16
19,34,6.99,0.38,45.95
25,34,7.07,0.43,59.29
19,32,6.98,0.38,47.15
24,36,7.1,0.42,56.53
5,30,6.77,0.08,5.22
23,35,7.07,0.43,54.53
14,32,7.0,0.31,30.67
29,31,6.96,0.45,61.84
15,33,7.02,0.32,36.76
25,36,7.09,0.44,59.35
24,34,7.07,0.42,56.18
0,26,6.72,0.0,0.0
0,26,6.69,0.01,0.0
19,33,7.0,0.4,47.23
6,31,6.8,0.1,5.29
20,33,7.02,0.41,48.66
18,34,6.97,0.37,44.18
24,36,7.08,0.41,56.91
11,30,6.87,0.24,12.71
2,30,6.74,0.01,4.53
13,33,6.97,0.28,25.19
10,30,6.91,0.18,9.05
2,30,6.74,0.0,0.0
16,34,7.0,0.34,40.28
12,31,6.96,0.25,17.78
11,30,6.9,0.25,12.51
5,30,6.79,0.1,5.27
11,29,6.93,0.23,13.33
25,36,7.1,0.45,58.84
14,32,7.0,0.29,31.25
13,32,6.96,0.3,24.38
8,29,6.87,0.15,4.33
0,26,6.73,0.0,0.0
10,29,6.9,0.2,8.81
1,29,6.72,0.01,3.33
22,35,7.0,0.43,53.22
27,34,7.08,0.44,61.8
0,25,6.7,0.01,0.0
23,33,7.05,0.43,54.53
25,34,7.1,0.46,59.53
15,33,6.99,0.32,36.78
10,31,6.91,0.18,8.88
11,31,6.94,0.23,12.76
8,29,6.87,0.13,3.93
20,32,7.02,0.42,48.96
22,34,7.06,0.42,50.98
6,30,6.83,0.1,4.57
9,29,6.87,0.19,5.71
14,32,7.03,0.3,31.65
1,29,6.74,0.0,0.0
11,29,6.94,0.24,13.07
14,32,6.99,0.29,30.79
15,33,7.04,0.33,36.18
19,34,6.97,0.39,46.15
18,32,7.01,0.37,44.69
10,31,6.89,0.18,7.34
14,33,7.0,0.29,31.25
15,32,6.98,0.32,36.7
19,33,6.99,0.38,46.73
9,31,6.87,0.17,6.47
8,29,6.86,0.17,4.23
19,32,6.98,0.38,46.71
10,31,6.9,0.21,8.73
25,35,7.11,0.43,59.49
11,31,6.94,0.21,13.06
7,29,6.82,0.13,4.01
24,35,7.12,0.42,57.31
27,35,7.1,0.45,61.41
24,36,7.05,0.4,57.1
12,30,6.95,0.24,18.64
7,30,6.84,0.12,3.9
24,34,7.11,0.44,55.89
2,28,6.74,0.02,4.54
30,30,6.91,0.45,59.84
15,33,6.97,0.32,36.17
21,32,7.01,0.42,50.37
10,29,6.9,0.19,9.0
21,33,6.97,0.41,49.86
3,30,6.74,0.03,5.67
1,29,6.7,0.01,3.83
20,32,7.01,0.39,47.75
11,31,6.93,0.23,13.32
14,32,6.97,0.3,31.3
12,31,6.95,0.25,19.3
4,31,6.81,0.07,6.08
5,31,6.82,0.08,4.63
3,30,6.76,0.03,5.01
25,36,7.1,0.43,59.58
10,29,6.92,0.19,8.36
16,33,6.99,0.33,39.93
6,30,6.83,0.12,3.59
29,33,7.02,0.46,61.63
3,30,6.76,0.04,7.08
14,34,6.99,0.3,30.88
9,31,6.9,0.18,5.8
8,30,6.87,0.14,4.68
23,33,7.04,0.43,54.85
3,30,6.78,0.04,4.81
29,31,6.99,0.44,61.76
16,32,7.01,0.33,40.03
0,27,6.69,0.0,0.0
19,34,7.0,0.39,46.38
8,29,6.84,0.15,4.48
22,35,7.07,0.43,51.4
30,30,6.88,0.45,60.23
10,30,6.89,0.19,8.1
20,33,6.99,0.4,48.84
11,31,6.91,0.23,13.51
10,31,6.97,0.21,9.45
22,33,7.04,0.42,51.83
16,34,7.02,0.34,39.99
2,28,6.72,0.01,4.46
15,34,7.02,0.32,37.28
20,33,6.98,0.41,48.0
18,32,6.99,0.36,44.97
13,33,6.96,0.29,24.51
3,30,6.74,0.03,5.81
2,30,6.73,0.03,5.7
1,28,6.7,0.0,0.0
7,30,6.84,0.13,3.91
23,35,7.07,0.44,54.88
16,34,6.98,0.33,40.22
2,28,6.74,0.02,5.82
9,29,6.84,0.17,5.0
26,36,7.06,0.44,60.7
25,35,7.15,0.45,58.74
30,29,6.89,0.45,60.96
22,33,7.05,0.4,53.12
10,31,6.89,0.2,8.08
29,33,6.96,0.44,62.69
19,33,6.98,0.38,46.64
12,31,6.97,0.25,18.61
